"","block.no","lar.density","rep","sex","dev.time","b.mass.em"
"118",3.2,"high",3,"F","187.35000000003492",1.99
"119",3.2,"high",3,"F","184.3666666665813",2.03
"120",3.2,"high",3,"F","174.68333333329065",1.75
"121",3.2,"high",3,"F","197.23333333327901",1.6
"122",3.2,"high",3,"F","184.6333333334187",1.75
"123",3.2,"high",3,"F","188.03333333332557",1.66
"124",3.2,"high",3,"F","185.68333333334886",1.63
"125",3.2,"high",3,"F","190.31666666659294",1.62
"126",3.2,"high",3,"F","190.93333333334886",1.77
"127",3.2,"high",3,"F","188.81666666659294",1.81
"128",3.2,"high",3,"F","197.20000000001164",1.29
"129",3.2,"high",3,"F","185.46666666667443",1.66
"130",3.2,"high",3,"F","241.81666666665114",1.28
"131",3.2,"high",3,"F","204.6166666665813",1.21
"132",3.2,"high",3,"F","199.06666666665114",1.34
"133",3.2,"high",3,"F","198.70000000001164",1.2
"134",3.2,"high",3,"F","241.81666666665114",1.04
"135",4.1,"low",4,"F","178.25000000005821",2.82
"136",4.1,"low",4,"F","184.28333333332557",2.96
"137",4.1,"low",4,"F","171.84999999997672",2.74
"138",4.1,"low",4,"F","174.11666666669771",2.34
"139",4.1,"low",4,"F","180.48333333333721",2.91
"140",4.1,"low",4,"F","193.93333333334886",2.69
"141",4.1,"low",4,"F","186.19999999995343",1.99
"142",4.1,"low",4,"F","208.30000000004657",3.35
"143",4.1,"low",4,"F","236.6333333333605",2.38
"144",4.1,"low",4,"F","219.14999999996508",2.86
"145",4.2,"low",5,"F","195.40000000008149",2.92
"146",4.2,"low",5,"F","183.66666666674428",2.98
"147",4.2,"low",5,"F","193.08333333337214",3.05
"148",4.2,"low",5,"F","194.36666666669771",2.96
"149",4.2,"low",5,"F","190.23333333333721",2.81
"150",4.2,"low",5,"F","195.48333333333721",3.24
"151",4.2,"low",5,"F","188.53333333338378",2.9
"152",4.2,"low",5,"F","210.16666666668607",2.64
"153",4.2,"low",5,"F","198.86666666669771",2.8
"154",4.2,"low",5,"F","193.96666666661622",2.9
"155",4.2,"low",5,"F","190.51666666672099",2.79
"156",4.2,"low",5,"F","193.79999999993015",2.85
"157",4.2,"low",5,"F","195.3666666666395",2.86
"158",4.2,"low",5,"F","180.86666666669771",3.01
"159",4.3,"low",6,"F","176.65000000008149",2.4
"160",4.3,"low",6,"F","193.93333333334886",2.34
"161",4.3,"low",6,"F","194.96666666673264",2.4
"162",4.3,"low",6,"F","184.09999999991851",2.23
"163",4.3,"low",6,"F","195.75",2.6
"164",4.3,"low",6,"F","193.81666666665114",2.31
"165",4.3,"low",6,"F","194.41666666668607",2.26
"166",4.3,"low",6,"F","198.68333333329065",2.15
"167",4.3,"low",6,"F","194.56666666665114",2.48
"168",4.3,"low",6,"F","203.71666666661622",2.26
"169",4.3,"low",6,"F","202.84999999991851",2.12
"170",4.3,"low",6,"F","180.34999999991851",2.11
"171",4.3,"low",6,"F","188.6333333333605",2.04
"172",4.3,"low",6,"F","214.45000000001164",1.96
"173",5.1,"low",7,"F","179.03333333332557",2.77
"174",5.1,"low",7,"F","181.71666666667443",2.76
"175",5.1,"low",7,"F","175.51666666672099",2.56
"176",5.1,"low",7,"F","189.09999999997672",2.48
"177",5.1,"low",7,"F","184.53333333326736",2.71
"178",5.1,"low",7,"F","193.1166666666395",2.89
"179",5.1,"low",7,"F","189.09999999997672",2.63
"180",5.1,"low",7,"F","184.95000000006985",2.79
"181",5.1,"low",7,"F","175.45000000001164",2.69
"182",5.1,"low",7,"F","172.56666666670935",2.62
"183",5.1,"low",7,"F","174.53333333332557",2.46
"184",5.1,"low",7,"F","222.1333333334187",1.82
"185",5.2,"low",8,"F","175.66666666668607",2.25
"186",5.2,"low",8,"F","197.01666666660458",1.93
"187",5.2,"low",8,"F","193.83333333337214",2.13
"188",5.2,"low",8,"F","194.75000000005821",2.14
"189",5.2,"low",8,"F","184.31666666659294",2.15
"190",5.2,"low",8,"F","176.76666666660458",2.29
"191",5.2,"low",8,"F","177.56666666659294",2.42
"192",5.2,"low",8,"F","191.1166666665813",1.88
"193",5.2,"low",8,"F","171.68333333329065",2.46
"194",5.2,"low",8,"F","194.78333333332557",2.25
"195",5.2,"low",8,"F","273.18333333340706",2.05
"196",5.1,"high",4,"F","193.48333333327901",1.21
"197",5.1,"high",4,"F","181.84999999991851",1.17
"198",5.1,"high",4,"F","197.01666666660458",0.86
"199",5.1,"high",4,"F","205.81666666665114",0.75
"200",5.1,"high",4,"F","199.33333333331393",1
"201",5.1,"high",4,"F","181.26666666660458",1.03
"202",5.1,"high",4,"F","194.8666666665813",1.07
"203",5.1,"high",4,"F","172.95000000006985",1.12
"204",5.1,"high",4,"F","179.59999999991851",0.95
"205",5.1,"high",4,"F","216.71666666673264",1.25
"206",5.1,"high",4,"F","194.81666666659294",1.28
"207",5.1,"high",4,"F","202.71666666667443",1.05
"208",5.1,"high",4,"F","204.34999999991851",0.97
"209",5.1,"high",4,"F","201",0.89
"210",5.1,"high",4,"F","204.03333333326736",0.94
"211",5.1,"high",4,"F","199.53333333326736",0.95
"212",5.1,"high",4,"F","232.53333333326736",0.87
"213",5.1,"high",4,"F","230.68333333334886",0.8
"214",5.1,"high",4,"F","340.56666666670935",1.21
"215",5.1,"high",4,"F","389.25",0.61
"216",5.1,"high",4,"F","418.09999999991851",0.67
"217",5.2,"high",5,"F","170.78333333332557",1.75
"218",5.2,"high",5,"F","180.68333333329065",1.41
"219",5.2,"high",5,"F","172.64999999996508",1.63
"220",5.2,"high",5,"F","180.58333333331393",1.29
"221",5.2,"high",5,"F","215.23333333327901",1.25
"222",5.2,"high",5,"F","206.56666666665114",1.19
"223",5.2,"high",5,"F","188.26666666672099",1.35
"224",5.2,"high",5,"F","192.56666666659294",1.53
"225",5.2,"high",5,"F","207.79999999998836",1.13
"226",5.2,"high",5,"F","183.3666666666395",1.55
"227",5.2,"high",5,"F","194.43333333340706",1.38
"228",5.2,"high",5,"F","176.6333333333605",1.48
